"date","yuan_rolling_vol","rupee_rolling_vol","yen_rolling_vol","franc_rolling_vol","euro_rolling_vol","pound_rolling_vol"
1999-12-09,1.84786079732958e-05,0.000755487380612195,0.00789714126306483,0.0060335017705998,0.00642487951342082,0.00477570750722828
1999-12-10,1.83144136567464e-05,0.000560097949557087,0.00784491398597,0.00600976163075256,0.00640186016052707,0.00475592177211647
1999-12-13,1.8355565322851e-05,0.000631742604920801,0.00783942041446765,0.00606071316408167,0.00641868092160028,0.00469252408404914
1999-12-14,1.84238377273014e-05,0.000642425540862655,0.00772517354588568,0.00607568319626185,0.00645453563306744,0.00485729564693492
1999-12-15,1.84283763202552e-05,0.000694597064892865,0.00772586236018544,0.00606861237150318,0.00645724976391183,0.00485878398264906
1999-12-16,1.81347475891793e-05,0.000642722006503796,0.0077720618977588,0.00636273851322384,0.00678204507276219,0.00485579226655839
1999-12-17,1.81347475891793e-05,0.00064219993146657,0.00762318202107734,0.00649395998779027,0.00689729858295978,0.00487885768002358
1999-12-20,1.78692059880724e-05,0.000639874515010467,0.0076309760932669,0.00643007501806056,0.00687618707636724,0.00484928460299108
1999-12-21,1.78550043440712e-05,0.000639874515010467,0.00688784747808661,0.0064314180676094,0.00689340234816477,0.00456484256547108
1999-12-22,1.78550043440712e-05,0.00063935011479727,0.00688641071908371,0.00643030252027561,0.00687670224953836,0.00454925131432288
1999-12-23,1.81530296110332e-05,0.00063935011479727,0.00677126310572873,0.00647310340227243,0.00702500241113569,0.00464781075508078
1999-12-24,1.84098445124386e-05,0.00063701429518928,0.00716071864838932,0.00645775825237784,0.00699559944671326,0.00462269889392614
1999-12-27,1.84233959315881e-05,0.00063701429518928,0.00714142759425361,0.00615801980761357,0.0067044248187325,0.00442568848216509
1999-12-28,1.84233713024437e-05,0.00063701429518928,0.00712124482791193,0.00624829932264112,0.00679623410291196,0.0042770931351806
1999-12-29,2.09448496842093e-05,0.000632987437054286,0.00687230814436208,0.0062428933116498,0.00680076812882884,0.0042119581940553
1999-12-30,2.12152853794248e-05,0.000625445315257709,0.00689620821422688,0.00598955369453333,0.00655343825285049,0.00415894234280732
1999-12-31,2.04298942872403e-05,0.000651294336001495,0.00684176929922175,0.00587909655749904,0.00640822820042846,0.00406588878004807
2000-01-03,2.12031100568818e-05,0.000669884139193801,0.0068285431369479,0.00606889629957479,0.0066117883325893,0.00428428326122968
2000-01-04,2.12149592235175e-05,0.000667655152700579,0.00705816243361646,0.00672793179228289,0.00719265922044639,0.00439523108836842
2000-01-05,2.12149004119766e-05,0.000667655152700579,0.00708581693497295,0.00667565426869898,0.00710491196841164,0.00440814508924473
2000-01-06,2.14193941737619e-05,0.000667655152700579,0.00748373856349891,0.00648407673799697,0.0069247804491493,0.0040709481965007
